Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Begin Path
1	Spectrogram 1	1	8.302419454	8.354526114	2225.510	2358.572	SUKIA_20191013_200000_5min_cut.wav	8.3024	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
1	Selection Spectrum 1	1	8.302419454	8.354526114	2225.510	2358.572	SUKIA_20191013_200000_5min_cut.wav	8.3024	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
2	Spectrogram 1	1	15.539175112	15.591281772	2298.853	2463.962	SUKIA_20191013_200000_5min_cut.wav	15.5392	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
2	Selection Spectrum 1	1	15.539175112	15.591281772	2298.853	2463.962	SUKIA_20191013_200000_5min_cut.wav	15.5392	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
3	Spectrogram 1	1	19.684485823	19.765540627	2390.769	2546.424	SUKIA_20191013_200000_5min_cut.wav	19.6845	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
3	Selection Spectrum 1	1	19.684485823	19.765540627	2390.769	2546.424	SUKIA_20191013_200000_5min_cut.wav	19.6845	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
4	Spectrogram 1	1	24.854419771	24.923895318	2201.830	2324.385	SUKIA_20191013_200000_5min_cut.wav	24.8544	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
4	Selection Spectrum 1	1	24.854419771	24.923895318	2201.830	2324.385	SUKIA_20191013_200000_5min_cut.wav	24.8544	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
5	Spectrogram 1	1	28.718211379	28.781897296	2423.110	2555.878	SUKIA_20191013_200000_5min_cut.wav	28.7182	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
5	Selection Spectrum 1	1	28.718211379	28.781897296	2423.110	2555.878	SUKIA_20191013_200000_5min_cut.wav	28.7182	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
6	Spectrogram 1	1	29.111906143	29.216119463	2327.263	2468.152	SUKIA_20191013_200000_5min_cut.wav	29.1119	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
6	Selection Spectrum 1	1	29.111906143	29.216119463	2327.263	2468.152	SUKIA_20191013_200000_5min_cut.wav	29.1119	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
7	Spectrogram 1	1	33.408427099	33.454744130	2209.856	2429.016	SUKIA_20191013_200000_5min_cut.wav	33.4084	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
7	Selection Spectrum 1	1	33.408427099	33.454744130	2209.856	2429.016	SUKIA_20191013_200000_5min_cut.wav	33.4084	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
8	Spectrogram 1	1	36.954069597	37.017755515	2258.001	2378.854	SUKIA_20191013_200000_5min_cut.wav	36.9541	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
8	Selection Spectrum 1	1	36.954069597	37.017755515	2258.001	2378.854	SUKIA_20191013_200000_5min_cut.wav	36.9541	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
9	Spectrogram 1	1	37.637245806	37.706721352	2335.090	2562.078	SUKIA_20191013_200000_5min_cut.wav	37.6372	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/files/converted_sound_files/SUKIA_20191013_200000_5min_cut.wav
