Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File
1	Waveform 1	1	26.873902675	26.932096335	2032.6	2351.2	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_180000_5min_cut.wav	26.8739	LAGCHIMU_20200119_180000_5min_cut.wav
1	Spectrogram 1	1	26.873902675	26.932096335	2032.6	2351.2	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_180000_5min_cut.wav	26.8739	LAGCHIMU_20200119_180000_5min_cut.wav
1	Selection Spectrum 1	1	26.873902675	26.932096335	2032.6	2351.2	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_180000_5min_cut.wav	26.8739	LAGCHIMU_20200119_180000_5min_cut.wav
2	Waveform 1	1	28.864125838	28.899042034	2064.4	2354.6	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_180000_5min_cut.wav	28.8641	LAGCHIMU_20200119_180000_5min_cut.wav
2	Spectrogram 1	1	28.864125838	28.899042034	2064.4	2354.6	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_180000_5min_cut.wav	28.8641	LAGCHIMU_20200119_180000_5min_cut.wav
2	Selection Spectrum 1	1	28.864125838	28.899042034	2064.4	2354.6	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_180000_5min_cut.wav	28.8641	LAGCHIMU_20200119_180000_5min_cut.wav
3	Waveform 1	1	40.337243428	40.389617722	2055.2	2319.3	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_180000_5min_cut.wav	40.3372	LAGCHIMU_20200119_180000_5min_cut.wav
3	Spectrogram 1	1	40.337243428	40.389617722	2055.2	2319.3	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_180000_5min_cut.wav	40.3372	LAGCHIMU_20200119_180000_5min_cut.wav
3	Selection Spectrum 1	1	40.337243428	40.389617722	2055.2	2319.3	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_180000_5min_cut.wav	40.3372	LAGCHIMU_20200119_180000_5min_cut.wav
4	Waveform 1	1	184.822597287	184.851694116	1960.8	2392.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_180000_5min_cut.wav	184.8226	LAGCHIMU_20200119_180000_5min_cut.wav
4	Spectrogram 1	1	184.822597287	184.851694116	1960.8	2392.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_180000_5min_cut.wav	184.8226	LAGCHIMU_20200119_180000_5min_cut.wav
4	Selection Spectrum 1	1	184.822597287	184.851694116	1960.8	2392.7	D:\UCR\Bioacústica\Lemur_files_2\LAGCHIMU_20200119_180000_5min_cut.wav	184.8226	LAGCHIMU_20200119_180000_5min_cut.wav
