Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File
1	Waveform 1	1	7.092643139	7.179314929	2318.3	2588.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190902_200000_5min_cut.wav	7.0926	SUKIA_20190902_200000_5min_cut.wav
1	Spectrogram 1	1	7.092643139	7.179314929	2318.3	2588.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190902_200000_5min_cut.wav	7.0926	SUKIA_20190902_200000_5min_cut.wav
1	Selection Spectrum 1	1	7.092643139	7.179314929	2318.3	2588.7	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190902_200000_5min_cut.wav	7.0926	SUKIA_20190902_200000_5min_cut.wav
2	Waveform 1	1	10.985651025	11.050654867	2282.3	2576.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190902_200000_5min_cut.wav	10.9857	SUKIA_20190902_200000_5min_cut.wav
2	Spectrogram 1	1	10.985651025	11.050654867	2282.3	2576.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190902_200000_5min_cut.wav	10.9857	SUKIA_20190902_200000_5min_cut.wav
2	Selection Spectrum 1	1	10.985651025	11.050654867	2282.3	2576.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190902_200000_5min_cut.wav	10.9857	SUKIA_20190902_200000_5min_cut.wav
3	Waveform 1	1	13.961383372	14.026387214	2320.9	2678.0	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190902_200000_5min_cut.wav	13.9614	SUKIA_20190902_200000_5min_cut.wav
3	Spectrogram 1	1	13.961383372	14.026387214	2320.9	2678.0	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190902_200000_5min_cut.wav	13.9614	SUKIA_20190902_200000_5min_cut.wav
3	Selection Spectrum 1	1	13.961383372	14.026387214	2320.9	2678.0	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190902_200000_5min_cut.wav	13.9614	SUKIA_20190902_200000_5min_cut.wav
4	Waveform 1	1	14.611422822	14.661981366	2112.6	2564.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190902_200000_5min_cut.wav	14.6114	SUKIA_20190902_200000_5min_cut.wav
4	Spectrogram 1	1	14.611422822	14.661981366	2112.6	2564.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190902_200000_5min_cut.wav	14.6114	SUKIA_20190902_200000_5min_cut.wav
4	Selection Spectrum 1	1	14.611422822	14.661981366	2112.6	2564.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190902_200000_5min_cut.wav	14.6114	SUKIA_20190902_200000_5min_cut.wav
5	Waveform 1	1	15.608148403	15.665929596	2172.1	2582.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190902_200000_5min_cut.wav	15.6081	SUKIA_20190902_200000_5min_cut.wav
5	Spectrogram 1	1	15.608148403	15.665929596	2172.1	2582.6	D:\UCR\Bioacústica\Lemur_files_2\SUKIA_20190902_200000_5min_cut.wav	15.6081	SUKIA_20190902_200000_5min_cut.wav
