Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Begin Path
1	Spectrogram 1	1	9.458331948	9.487029459	2136.100	2412.200	SUKIA_20191128_210000_5min_cut.wav	9.4583	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
2	Spectrogram 1	1	46.886972223	46.919769379	2258.800	2608.200	SUKIA_20191128_210000_5min_cut.wav	46.8870	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
3	Spectrogram 1	1	50.572552581	50.605349737	2304.800	2526.400	SUKIA_20191128_210000_5min_cut.wav	50.5726	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
4	Spectrogram 1	1	69.140531963	69.173329118	2153.100	2437.800	SUKIA_20191128_210000_5min_cut.wav	69.1405	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
5	Spectrogram 1	1	71.661813298	71.694610453	2284.400	2480.400	SUKIA_20191128_210000_5min_cut.wav	71.6618	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
6	Spectrogram 1	1	73.514852588	73.539450455	2316.800	2555.400	SUKIA_20191128_210000_5min_cut.wav	73.5149	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
7	Spectrogram 1	1	76.500022793	76.549218526	2340.600	2569.000	SUKIA_20191128_210000_5min_cut.wav	76.5000	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
8	Spectrogram 1	1	77.024777282	77.057574438	2337.200	2494.000	SUKIA_20191128_210000_5min_cut.wav	77.0248	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
9	Spectrogram 1	1	80.529973285	80.562770440	2391.800	2560.500	SUKIA_20191128_210000_5min_cut.wav	80.5300	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
10	Spectrogram 1	1	83.702777368	83.727375235	2192.300	2407.100	SUKIA_20191128_210000_5min_cut.wav	83.7028	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
11	Spectrogram 1	1	91.701237955	91.738134755	2289.500	2533.200	SUKIA_20191128_210000_5min_cut.wav	91.7012	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
12	Spectrogram 1	1	100.398679324	100.435576124	2378.500	2517.900	SUKIA_20191128_210000_5min_cut.wav	100.3987	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
13	Spectrogram 1	1	107.238907018	107.271704173	2163.300	2444.600	SUKIA_20191128_210000_5min_cut.wav	107.2389	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
14	Spectrogram 1	1	125.060440616	125.113735994	2221.300	2436.100	SUKIA_20191128_210000_5min_cut.wav	125.0604	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
15	Spectrogram 1	1	128.415715398	128.444412909	2272.400	2396.900	SUKIA_20191128_210000_5min_cut.wav	128.4157	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
16	Spectrogram 1	1	138.697936957	138.734833757	2316.800	2603.100	SUKIA_20191128_210000_5min_cut.wav	138.6979	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
17	Spectrogram 1	1	139.989324958	140.034421047	2277.600	2536.600	SUKIA_20191128_210000_5min_cut.wav	139.9893	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
18	Spectrogram 1	1	141.313510114	141.346307270	2335.500	2524.700	SUKIA_20191128_210000_5min_cut.wav	141.3135	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
19	Spectrogram 1	1	142.322022648	142.363019093	2291.200	2499.100	SUKIA_20191128_210000_5min_cut.wav	142.3220	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
20	Spectrogram 1	1	143.314136605	143.342834116	2274.100	2402.000	SUKIA_20191128_210000_5min_cut.wav	143.3141	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
21	Spectrogram 1	1	146.133442009	146.166239165	2298.000	2475.300	SUKIA_20191128_210000_5min_cut.wav	146.1334	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
22	Spectrogram 1	1	147.355136054	147.383833565	2224.700	2506.000	SUKIA_20191128_210000_5min_cut.wav	147.3551	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
23	Spectrogram 1	1	155.063886996	155.100783796	2282.700	2511.100	SUKIA_20191128_210000_5min_cut.wav	155.0639	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
24	Spectrogram 1	1	159.536599088	159.569396244	2337.200	2521.300	SUKIA_20191128_210000_5min_cut.wav	159.5366	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
25	Spectrogram 1	1	161.963932347	161.992629859	2337.200	2572.400	SUKIA_20191128_210000_5min_cut.wav	161.9639	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
26	Spectrogram 1	1	167.473407254	167.530802276	2294.600	2495.700	SUKIA_20191128_210000_5min_cut.wav	167.4734	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
27	Spectrogram 1	1	196.167574321	196.204471121	2333.800	2555.400	SUKIA_20191128_210000_5min_cut.wav	196.1676	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
28	Spectrogram 1	1	199.664571034	199.689168901	2328.700	2517.900	SUKIA_20191128_210000_5min_cut.wav	199.6646	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
29	Spectrogram 1	1	200.992855835	201.021553346	2315.100	2577.600	SUKIA_20191128_210000_5min_cut.wav	200.9929	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
30	Spectrogram 1	1	215.151673965	215.192670410	2347.400	2575.800	SUKIA_20191128_210000_5min_cut.wav	215.1517	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
31	Spectrogram 1	1	229.025456949	229.086951616	2328.700	2563.900	SUKIA_20191128_210000_5min_cut.wav	229.0255	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
32	Spectrogram 1	1	249.407535350	249.452631439	2252.000	2528.100	SUKIA_20191128_210000_5min_cut.wav	249.4075	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
33	Spectrogram 1	1	259.491158043	259.515755910	2221.300	2432.700	SUKIA_20191128_210000_5min_cut.wav	259.4912	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
34	Spectrogram 1	1	263.687733870	263.716431381	2158.200	2410.500	SUKIA_20191128_210000_5min_cut.wav	263.6877	/Users/fabiolachirino/Dropbox/Fabiola/proyecto_lemur/data/raw/sound_files/10_kHz_5_min_cuts/SUKIA_20191128_210000_5min_cut.wav
